Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,3.6068,28.9788,90.0,top
C2,10u,C_0805_2012Metric,7.9096,28.9052,180.0,top
C3,10u,C_0805_2012Metric,7.94,24.13,180.0,top
C4,100n,C_0402_1005Metric,6.645589,5.470211,-45.0,top
C5,10u,C_0402_1005Metric,12.912411,5.013011,45.0,top
C6,100n,C_0402_1005Metric,4.6482,13.6144,-135.0,top
C7,100n,C_0402_1005Metric,12.201211,5.724211,45.0,top
C8,100n,C_0402_1005Metric,4.936811,6.391589,135.0,top
J1,FTDI Basic,PinHeader_1x06_P2.54mm_Vertical_FUEL4EP,8.89,31.75,-90.0,top
J2,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical_FUEL4EP,16.51,15.24,0.0,bottom
J3,Conn_01x12,PinHeader_1x12_P2.54mm_Vertical_FUEL4EP,1.27,15.24,180.0,bottom
J4,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical_FUEL4EP,8.89,1.27,90.0,bottom
J5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical_FUEL4EP,13.97,19.05,180.0,bottom
L1,4.7u,FUEL4EP_Inductor_SMD_1,12.1666,27.4406,-90.0,top
LOGO1,Logo_Open_Hardware_Small,CC-BY-ND-SA,8.6106,17.8562,90.0,bottom
R1,10k,R_0402_1005Metric,3.6068,27.0744,-90.0,top
R2,22,R_0402_1005Metric,7.5164,3.8608,180.0,top
S1,EVPBB0AAB000,SW_EVPBB0AAB000,4.451,23.567,90.0,top
U1,ATMEGA1284P-MUR,QFN-44-1EP_7x7mm_P0.5mm_EP5.15x5.15mm_ThermalVias,8.887487,9.771553,-135.0,top
U2,TPS61221DCK,Texas_R-PDSO-G6,8.044,26.5072,0.0,top
Y2,8MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,13.1764,14.732,0.0,top
