Comment,Designator,Footprint,LCSC
100n,"C1,C11,C14,C2,C4,C6,C7,C8",C_0402_1005Metric,C1525
10u,"C12,C3",C_0402_1005Metric,C15525
10u,"C5,C9",C_0805_2012Metric,C15850
0 Ohm,R3,R_0402_1005Metric,C17168
12nH,L2,L_0402_1005Metric,C2043991
22,R2,R_0402_1005Metric,C23345
4.7u,C10,C_0402_1005Metric,C23733
470,R4,R_0402_1005Metric,C25117
10k,R1,R_0402_1005Metric,C25744
4.7k,"R5,R6",R_0402_1005Metric,C25900
LED red 0402,D1,LED_0402_1005Metric,C273598
TPS61221DCK,U2,Texas_R-PDSO-G6,C2865756
ATmega1284P-AU,U1,TQFP-44_10x10mm_P0.8mm,C33575
4.7u,L1,FUEL4EP_Inductor_SMD_1,C576538
E07-900MM10S,Module1,eByte_E07-900MM10S,C5844212
1pF,C13,C_0402_1005Metric,C72134
FerriteBead,FB1,L_0402_1005Metric,C76889
SWRA416 868MHz PCB Antenna,AE1,Texas_SWRA416_868MHz_915MHz,
Reset,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Power,J1,PinHeader_1x03_P2.54mm_Vertical,
ISP Programmer,J3,PogoPinHeader_SMD_1x06_P2.54mm_Vertical,
FTDI Debuger,J2,PogoPinHeader_SMD_1x06_P2.54mm_Vertical,
PC4/PCINT20,J7,PinHeader_1x01_P2.54mm_Vertical,
I2C,J4,PinHeader_1x04_P2.54mm_Vertical,
PB3/AIN1/PCINT11,J6,TestPoint_Pad_1.0x1.0mm,
Config,JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
PA5/PCINT5,J5,PinHeader_1x01_P2.54mm_Vertical,
